time, s, i, r
0, 3285, 1, 0
1, 3282, 4, 0
2, 3255, 31, 0
3, 3253, 33, 0
4, 3001, 285, 0
5, 1846, 1439, 1
6, 967, 2316, 3
7, 275, 3003, 8
8, 114, 3139, 33
9, 45, 3036, 205
10, 23, 2210, 1053
11, 19, 1190, 2077
12, 15, 434, 2837
13, 15, 149, 3122
14, 13, 48, 3225
15, 13, 23, 3250
16, 13, 6, 3267
17, 13, 5, 3268
18, 13, 2, 3271
19, 13, 0, 3273
