time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3089, 197, 0
4, 2633, 653, 0
5, 1739, 1546, 1
6, 472, 2813, 1
7, 182, 3102, 2
8, 60, 3125, 101
9, 28, 2870, 388
10, 19, 2026, 1241
11, 16, 738, 2532
12, 15, 235, 3036
13, 13, 67, 3206
14, 13, 33, 3240
15, 13, 9, 3264
16, 13, 5, 3268
17, 13, 3, 3270
18, 13, 0, 3273
