time, s, i, r
0, 3285, 1, 0
1, 3281, 5, 0
2, 3277, 9, 0
3, 3225, 61, 0
4, 2828, 458, 0
5, 1791, 1494, 1
6, 775, 2509, 2
7, 305, 2976, 5
8, 115, 3123, 48
9, 58, 2911, 317
10, 30, 2128, 1128
11, 21, 1014, 2251
12, 15, 412, 2859
13, 15, 146, 3125
14, 13, 60, 3213
15, 13, 29, 3244
16, 13, 13, 3260
17, 13, 5, 3268
18, 13, 2, 3271
19, 13, 0, 3273
