time, s, e, i, r
0, 3276, 0, 10, 0
1, 3205, 71, 10, 0
2, 3167, 109, 10, 0
3, 3162, 114, 10, 0
4, 3161, 90, 35, 0
5, 3118, 74, 94, 0
6, 3032, 134, 120, 0
7, 2973, 188, 125, 0
8, 2942, 193, 151, 0
9, 2881, 191, 214, 0
10, 2829, 165, 292, 0
11, 2779, 178, 319, 10
12, 2738, 164, 374, 10
13, 2699, 151, 401, 35
14, 2670, 124, 398, 94
15, 2637, 114, 415, 120
16, 2611, 106, 444, 125
17, 2587, 93, 455, 151
18, 2562, 88, 422, 214
19, 2542, 79, 373, 292
20, 2530, 68, 359, 329
21, 2515, 55, 332, 384
22, 2491, 62, 297, 436
23, 2474, 61, 259, 492
24, 2461, 61, 229, 535
25, 2454, 48, 215, 569
26, 2439, 40, 201, 606
27, 2430, 34, 186, 636
28, 2414, 43, 164, 665
29, 2410, 39, 149, 688
30, 2404, 32, 134, 716
31, 2396, 27, 130, 733
32, 2392, 18, 125, 751
33, 2386, 20, 116, 764
34, 2384, 15, 103, 784
35, 2380, 12, 87, 807
36, 2377, 13, 74, 822
37, 2374, 11, 72, 829
38, 2372, 11, 66, 837
39, 2372, 8, 56, 850
40, 2371, 5, 47, 863
41, 2369, 4, 37, 876
42, 2369, 3, 34, 880
43, 2369, 3, 27, 887
44, 2368, 3, 21, 894
45, 2367, 2, 21, 896
46, 2367, 2, 16, 901
47, 2367, 1, 15, 903
48, 2367, 0, 13, 906
49, 2366, 1, 9, 910
50, 2366, 1, 6, 913
51, 2366, 1, 5, 914
52, 2366, 0, 6, 914
53, 2366, 0, 5, 915
54, 2366, 0, 3, 917
55, 2366, 0, 3, 917
56, 2366, 0, 2, 918
57, 2366, 0, 1, 919
58, 2366, 0, 1, 919
59, 2366, 0, 1, 919
60, 2366, 0, 1, 919
61, 2366, 0, 0, 920
